,close_price
close_price,1.0
mid_price,0.99997329292102
high_price,0.9999469355883804
low_price,0.9999362686865008
open_price,0.9999061413855449
open_interest,0.8424322748368149
miner_supply_ratio,0.7128751020297772
difficulty,0.6398367937383027
time,0.5667146815139877
blockreward_usd,0.5619121585453598
tokens_transferred_median,0.5511037634805609
exchange_supply_ratio,0.33621852603610214
blockreward,0.3093064562919199
taker_sell_volume,0.3007265827897923
taker_buy_volume,0.2973139624927554
transactions_count_outflow,0.28756361608624176
addresses_count_inflow,0.21850326732539604
fees_transaction_median_usd,0.17722610373050582
fees_transaction_mean_usd,0.166919252017781
estimated_leverage_ratio,0.1588374405579495
coinbase_premium_gap,0.1496927289685239
exchange_whale_ratio,0.14474389110108826
addresses_count_receiver,0.14081751803202067
fees_transaction_median,0.13465856865089185
addresses_count_outflow,0.11864099330266038
addresses_count_sender,0.10285936952979778
fees_transaction_mean,0.10197253911708458
short_liquidations,0.06860684880011463
tokens_transferred_mean,0.05637846718633478
volume,0.04638489149349004
short_liquidations_usd,0.045097205474593186
long_liquidations,0.04458280182889712
taker_buy_sell_ratio,0.04331061003915709
tokens_transferred_total,0.03867157512493059
taker_sell_ratio,0.038593311278234343
taker_buy_ratio,0.03859331127823431
transactions_count_inflow,0.026445516824496227
long_liquidations_usd,0.023952673772257932
coinbase_premium_index,0.020910605492964363
coinbase_premium_gap_usdt_adjusted,0.004622052566929303
coinbase_premium_index_usdt_adjusted,0.0010333587571804122
price_range,0.0006699223382130067
addresses_count_active,0.00014056920647151255
